"lon","lat","sif"
-52.75,71.25,-0.077447384595871
-38.25,71.25,-0.171490654349327
-36.25,71.25,-0.243918359279633
-51.75,70.75,-0.0025453504640609
-50.75,70.75,-0.232756555080414
-29.25,70.75,-0.0752670988440514
-36.25,70.25,-0.293649196624756
-34.75,70.25,-0.193793386220932
-34.25,70.25,-0.19078528881073
-33.75,70.25,-0.133273065090179
-33.25,70.25,-0.276252806186676
-32.25,70.25,-0.14691025018692
-29.75,70.25,0.0672255977988243
-29.25,70.25,0.0528393425047398
-49.75,69.75,-0.205375149846077
-49.25,69.75,-0.275459080934525
-43.25,69.75,-0.277371913194656
-36.75,69.75,-0.216312780976295
-36.25,69.75,-0.15988264977932
-35.75,69.75,-0.0523050017654896
-35.25,69.75,-0.0755424872040749
-34.75,69.75,-0.122280694544315
-34.25,69.75,-0.1741843521595
-33.75,69.75,-0.164066940546036
-33.25,69.75,-0.162619411945343
-32.25,69.75,-0.223608836531639
-31.75,69.75,-0.145862549543381
-31.25,69.75,-0.0694634094834328
-30.25,69.75,-0.189241051673889
-29.75,69.75,-0.116177447140217
-28.75,69.75,-0.14494015276432
-28.25,69.75,-0.172832250595093
-26.25,69.75,0.020273121073842
31.75,69.75,0.146220326423645
-50.75,69.25,-0.0868547335267067
-49.75,69.25,-0.14189937710762
-49.25,69.25,-0.116141825914383
-41.25,69.25,-0.256964951753616
-38.75,69.25,-0.169308200478554
-36.75,69.25,-0.19692949950695
-35.75,69.25,-0.149184346199036
-35.25,69.25,-0.0672814249992371
-34.75,69.25,-0.202411904931068
-34.25,69.25,-0.135458946228027
-33.25,69.25,-0.192077651619911
-32.75,69.25,-0.0820890367031097
-32.25,69.25,-0.291612774133682
-30.75,69.25,-0.0773792415857315
-30.25,69.25,0.150198698043823
-29.75,69.25,-0.167791858315468
-28.75,69.25,-0.110616356134415
-28.25,69.25,-0.0494383983314037
-26.75,69.25,0.000933358445763588
-26.25,69.25,-0.0666759386658669
-50.75,68.75,0.0175407826900482
-49.75,68.75,-0.0783383548259735
-49.25,68.75,-0.184899359941483
-48.75,68.75,-0.0492957979440689
-43.75,68.75,-0.110752910375595
-42.25,68.75,-0.170739948749542
-41.75,68.75,-0.153161197900772
-38.75,68.75,-0.227451577782631
-38.25,68.75,-0.191436544060707
-37.25,68.75,-0.171070381999016
-36.75,68.75,-0.054112259298563
-35.75,68.75,-0.0180163122713566
-35.25,68.75,-0.0314376875758171
-34.75,68.75,-0.169817909598351
-34.25,68.75,0.161583930253983
-31.25,68.75,-0.176707074046135
-50.75,68.25,0.0338019020855427
-50.25,68.25,-0.19025918841362
-49.75,68.25,-0.0594011060893536
-48.75,68.25,-0.212831720709801
-48.25,68.25,-0.080316349864006
-47.25,68.25,-0.2424346357584
-43.75,68.25,-0.174928799271584
-43.25,68.25,-0.13080883026123
-42.25,68.25,-0.0757206827402115
-40.25,68.25,-0.176424533128738
-39.25,68.25,-0.154111877083778
-38.25,68.25,-0.160957619547844
-37.25,68.25,-0.0872868373990059
-36.75,68.25,-0.253854483366013
-35.25,68.25,-0.176132515072823
-34.75,68.25,-0.0118569387122989
-33.75,68.25,0.048446636646986
-33.25,68.25,0.0282682832330465
-32.75,68.25,0.122151799499989
-32.25,68.25,0.0812212079763412
-31.25,68.25,-0.146821901202202
-30.25,68.25,-0.0622986257076263
-29.75,68.25,0.0163855105638504
-48.75,67.75,-0.11381509155035
-48.25,67.75,-0.07284065335989
-47.75,67.75,-0.236145868897438
-47.25,67.75,-0.320766896009445
-46.75,67.75,-0.399938464164734
-46.25,67.75,0.0232686288654804
-45.75,67.75,-0.16902269423008
-45.25,67.75,-0.1317358314991
-44.25,67.75,-0.034311581403017
-41.25,67.75,-0.296728104352951
-40.75,67.75,-0.0180877242237329
-39.25,67.75,-0.13359734416008
-38.75,67.75,-0.124804995954037
-38.25,67.75,-0.217308908700943
-37.25,67.75,-0.222291186451912
-36.75,67.75,-0.239977151155472
-36.25,67.75,-0.221680223941803
-35.25,67.75,-0.0819564238190651
